nan,nan,nan,nan,239.16853,235.52354,232.05067,229.7513,227.38185,228.34042,229.09596,228.67632,224.09062,217.14595,210.91565,204.20387,203.82495,203.5676
nan,nan,nan,nan,238.8344,235.16063,231.4607,229.72978,229.44705,227.34026,227.45793,228.01697,221.09335,214.34384,208.28732,199.68188,200.85638,207.49321
nan,nan,nan,nan,238.55498,234.50099,231.0091,230.7639,nan,229.7869,229.62871,229.7128,224.67218,211.58003,204.26369,197.50568,202.06512,206.64798
nan,nan,nan,nan,238.75877,234.14273,232.23819,230.39365,229.59645,228.77481,228.90416,230.59433,225.9366,215.21628,203.52124,196.7237,204.05841,208.10716
nan,nan,nan,nan,238.5625,234.82483,232.7786,230.61676,228.74263,229.41632,232.04242,231.48471,228.86398,216.06285,203.20412,198.59935,205.94792,208.83745
nan,nan,nan,nan,237.75531,235.49171,231.99686,231.8268,229.21838,228.9467,229.18758,230.26688,230.71666,226.1764,218.70686,212.98479,210.50032,207.55981
nan,nan,nan,nan,237.33943,234.19478,235.80945,230.32272,229.87688,229.96544,229.5372,231.6656,231.52646,235.23006,237.11208,228.82501,214.20953,204.5197
nan,nan,nan,nan,238.3276,234.32863,232.3277,230.30916,229.7524,228.83395,230.02252,231.26765,233.31319,234.87053,235.39546,233.30045,210.90305,204.67473
nan,nan,nan,nan,238.3012,234.6035,231.41428,231.85353,230.19385,229.6643,226.04883,231.78624,232.2609,234.26657,232.7656,226.15747,214.55695,210.50261
nan,nan,nan,nan,238.03804,236.02716,232.9609,231.48207,231.07182,230.26553,230.84604,231.93942,231.26955,232.39215,232.97258,223.7148,213.89522,210.37958
nan,nan,nan,nan,238.82991,236.5763,233.08249,230.80814,229.61551,231.03389,230.88934,230.6549,231.74072,229.82756,226.54816,220.81694,213.30423,212.69945
nan,nan,nan,nan,238.86957,235.82411,233.01318,229.40923,228.14297,228.56343,229.04971,229.76352,226.52843,221.82684,217.03764,207.81358,210.55519,211.18391
nan,nan,nan,nan,239.53336,236.22778,234.05017,230.06036,228.25476,228.68294,230.09103,229.41347,226.2816,212.43098,204.8389,206.49986,209.05087,210.72887
nan,nan,nan,nan,239.60355,237.34122,232.70573,229.19531,228.45206,226.99059,226.92879,229.17172,227.55069,220.66518,215.64851,211.80998,208.56364,210.19637
nan,nan,nan,nan,239.95605,236.53622,233.92903,229.39536,226.65756,nan,nan,225.32193,229.50546,226.26363,nan,213.73341,210.00325,210.74031
nan,nan,nan,nan,239.2355,234.95052,232.25827,230.852,226.70032,228.12163,228.43683,229.5763,231.6437,233.33676,223.89873,214.1521,209.52274,208.66707
nan,nan,nan,nan,239.15672,234.37505,231.87631,229.4324,227.54465,227.53056,228.86026,227.55432,232.12735,233.38663,225.37695,212.00688,206.53688,208.76457
nan,nan,nan,nan,238.81636,234.66573,232.5748,230.22672,226.6866,225.5876,229.55531,228.35722,231.60965,230.0986,223.97993,210.6479,205.1339,205.0937
